,alpha,acc,prec,rec,f1
0,0.01,0.6507809678360982,0.5191481509519664,0.735098450386231,0.6085326456192893
1,0.02,0.6676495762439331,0.5376061004947574,0.7141488513563308,0.6134280173331569
2,0.03,0.6749595539305664,0.5467474569885722,0.7000395275453394,0.6139698861549763
3,0.04,0.6791624818796661,0.5527341328661906,0.6870155363351936,0.6126026022438079
4,0.05,0.6816708803142671,0.5570202414792405,0.6734823767444041,0.6097399722200318
5,0.06,0.6825317507829468,0.5592436380105869,0.6617983023254256,0.6062142142633585
6,0.07,0.6842213327660164,0.5620699162521396,0.6555743888304536,0.6052319881740614
7,0.08,0.684211437703158,0.5627730779957237,0.6489217019623081,0.602784908595877
8,0.09,0.6848917232746721,0.5640794382397555,0.6452771282903331,0.6019524267839955
9,0.1,0.6851786800975653,0.5648108321499908,0.6422087188385601,0.6010282776349614
,alpha,acc,prec,rec,f1
0,0.01,0.640346797932075,0.5093038254943109,0.7089164762868226,0.5927562901405216
1,0.02,0.652323941920004,0.5211737472766884,0.7179944125469808,0.603953281956635
2,0.03,0.6628466124124966,0.5335535375917662,0.6904457233205817,0.6019444128066072
3,0.04,0.6689514433423207,0.5424176114183922,0.6609541547469903,0.59584774041583
4,0.05,0.6714398792885943,0.5473011085657714,0.6370433396086103,0.5887721709839907
5,0.06,0.67306255720187,0.5508279012228197,0.620475268485827,0.5835809186544382
6,0.07,0.6736982709575284,0.5528678258643702,0.607746058969738,0.579009516758047
7,0.08,0.673826897865288,0.5538220756806246,0.5997936528141602,0.5758918807652228
8,0.09,0.6740618893313874,0.5547660485557239,0.5936836322464375,0.5735654391466584
9,0.1,0.6744428228659064,0.5556557604500391,0.5902802435968726,0.5724449122396671
