,neg,acc,prec,rec,f1
0,0.0,0.6725703119202513,0.6126029905401281,0.27288792224563313,0.3775802887102083
1,5.0,0.776131463295982,0.705975071535962,0.6595754321575025,0.6819869519894116
2,10.0,0.7778135074743777,0.7144603562696472,0.648791318335259,0.6800441695064177
3,20.0,0.773451736050989,0.675315110578036,0.7270894220530596,0.7002465580065895
,neg,acc,prec,rec,f1
0,0.0,0.6663121181388676,0.6001747392562661,0.2490088130678085,0.3519823224236214
1,5.0,0.7969838639193279,0.7425496482986603,0.6768390765536147,0.7081733276442421
2,10.0,0.7979485657275254,0.727213812896357,0.7118421350732912,0.719445875550976
3,20.0,0.7977341875479259,0.7349952061361458,0.6947144248850223,0.714287378143235
