,ns,acc,prec,rec,f1
0,-1.0,0.6092667994174815,0.48344199083250744,0.8369077139601904,0.6128623801881654
1,-0.9,0.6299001396855589,0.49953345523471593,0.8001072314188057,0.6150628153971782
2,-0.8,0.6439553798753728,0.5121759482589198,0.7685007707258227,0.6146869153618123
3,-0.7,0.6534485491524752,0.5219517038872366,0.7398029622679445,0.6120705190228918
4,-0.6,0.6600860898940966,0.5294708788799835,0.7203337577910328,0.6103285851786023
5,-0.5,0.6647175082473921,0.5350403971329433,0.7078949132095704,0.6094482509917059
6,-0.4,0.6683483421008312,0.5390832137073497,0.7072247168420347,0.6118118385083444
7,-0.3,0.6703916149037557,0.5412991589579684,0.708263521211715,0.6136265982278688
8,-0.2,0.6721723581101832,0.5427961687965245,0.7159372696199987,0.6174587806886984
9,-0.1,0.6730367244231779,0.5436604268026368,0.717445211446954,0.6185787423869454
10,0.0,0.6754242577347164,0.5459635693528954,0.7227531666778366,0.6220409764201007
11,0.1,0.6767517658830405,0.547467904444625,0.7224917900944977,0.6229190863337205
12,0.2,0.6775368779782249,0.5484073027270644,0.7217210642718317,0.6232395283223613
13,0.3,0.6790996720856738,0.5502887983122708,0.7202399302995778,0.6238976841934154
14,0.4,0.6795702440039231,0.5509951144253021,0.7180550901414114,0.6235290694290869
15,0.5,0.6798897375694712,0.5518012757630963,0.7125192681455667,0.6219451911348752
16,0.6,0.6807986843799844,0.5531478770131771,0.7089605254339522,0.6214363342634748
17,0.7,0.6814005210964821,0.5542761856012833,0.7039541585684606,0.6202123922022479
18,0.8,0.6815218791175043,0.5549837342008426,0.6974398498760137,0.6181100023758612
19,0.9,0.6817051544961908,0.555663148381266,0.6922458280276121,0.6164800534772126
20,1.0,0.6821980166631993,0.5567988429814975,0.686327994102272,0.6148151928220429
,ns,acc,prec,rec,f1
0,-1.0,0.6231469273563366,0.49331918027815086,0.7628347279633935,0.5991638448403332
1,-0.9,0.6254127902518423,0.4953429224450516,0.7724486309400186,0.6036117866014706
2,-0.8,0.6263379351458588,0.4961626981750357,0.7770311463658107,0.6056169243984012
3,-0.7,0.6252520030376415,0.49534009190432265,0.7951200230465688,0.6104099161652008
4,-0.6,0.6255018416320149,0.49562745596692287,0.8095174289676611,0.614826857173387
5,-0.5,0.6216503694395452,0.4926975655912616,0.833756523719877,0.6193803658081374
6,-0.4,0.6203789136226349,0.4917895723857709,0.8433168300248555,0.6212754616033839
7,-0.3,0.6212743747232604,0.49252365918318886,0.8476179629245024,0.6230265425715271
8,-0.2,0.622639829219242,0.4935892188163932,0.8482745221521744,0.6240561480984957
9,-0.1,0.6266570359248109,0.49671355200877965,0.842968451659152,0.6250943921147809
10,0.0,0.6309883961104336,0.5001717732592977,0.8388415079423568,0.6266776445032821
11,0.1,0.6362993214779561,0.5045870051970995,0.8228362018718638,0.6255615430847434
12,0.2,0.641973873314517,0.5095302454243454,0.8107635515834467,0.6257827649507459
13,0.3,0.6462854443045458,0.5135235400184628,0.7975452724385815,0.6247700620078146
14,0.4,0.6506959612725443,0.5177276549656366,0.7878174765347072,0.6248346147919467
15,0.5,0.6539537575971959,0.5210123607398504,0.7782705693976404,0.6241728837510444
16,0.6,0.6569295578846339,0.5242025940016573,0.7671023629432612,0.622807256112486
17,0.7,0.6603704042685294,0.5281085246548695,0.7529729403804024,0.6208058417867824
18,0.8,0.6630741031165509,0.5313986427667935,0.7402370312803574,0.6186692647528179
19,0.9,0.665436438340577,0.5346088107728939,0.7250490744524765,0.6154331711672264
20,1.0,0.6662675845555223,0.5361647426526188,0.7125610499587975,0.6119039331709014
