,threshold,acc,prec,rec,f1
0,0.1,0.4149619478731211,0.3830336657157563,0.9947212215954145,0.5530907121172038
1,0.2,0.4556690660532153,0.39908671586715866,0.9801082942522485,0.5672123194723971
2,0.3,0.4972749235247071,0.41639181402741904,0.9495910645914044,0.5789266500459257
3,0.4,0.5377676635252018,0.4347288078056045,0.8994086861958812,0.5861447828847319
4,0.5,0.5722165879239123,0.4520575086993672,0.8270463762205759,0.584585081510425
5,0.6,0.5983624805204443,0.4671381749180611,0.736219669679875,0.5715944170338514
6,0.7,0.6205341314797866,0.4839452279044387,0.6429688030992999,0.552236772975813
7,0.8,0.6354251696473479,0.4991993678125065,0.5438501098801514,0.5205690369310173
8,0.9,0.6501183202645097,0.523148776712738,0.4364847413851696,0.4759034656522491
9,1.0,0.6354828868495478,0.45892018779342725,0.00885837921112848,0.017381254028583495
,threshold,acc,prec,rec,f1
0,0.81,0.6366372308935447,0.5007451247551733,0.5328847504474501,0.5163152637991022
1,0.82,0.6385006719931399,0.5032289030456409,0.5225764063526587,0.5127202000555711
2,0.83,0.6398941301605363,0.5051933257387925,0.5124039964657106,0.5087731137805372
3,0.84,0.6413040789571326,0.5072802197802198,0.5020050295656902,0.5046288388617497
4,0.85,0.6425573667763294,0.5092423176167018,0.49183261967874214,0.500386082587099
5,0.86,0.6435220685845269,0.5109054539319885,0.48027821201205284,0.4951186472346786
6,0.87,0.6456988316389212,0.5144961682497954,0.46999252361856864,0.49123845607388117
7,0.88,0.6473561398735169,0.517495913363302,0.45902716418586736,0.48651114766301284
8,0.89,0.6490299387373125,0.5207120849024307,0.4479711819479372,0.48161048324240063
9,0.9,0.6501183202645097,0.523148776712738,0.4364847413851696,0.4759034656522491
10,0.91,0.6513056455669066,0.52601221124898,0.423548335938739,0.4692520080321285
11,0.92,0.6531361054081019,0.5302768924885237,0.4108837989079952,0.4630074036252234
12,0.93,0.6542822041374988,0.5337301587301587,0.3961349373569859,0.4547523374816318
13,0.94,0.6568794782364921,0.5404401165956629,0.38224699245565147,0.4477825844634942
14,0.95,0.658075048853489,0.5452665129526651,0.3643263327216294,0.43679971751028784
15,0.96,0.6601858493910835,0.5529381965552178,0.3462017716758422,0.42580285614768376
16,0.97,0.6619998186030788,0.5617589320769533,0.3241577743039036,0.4110962662874053
17,0.98,0.6634922205456749,0.5728359385262052,0.296404540202542,0.3906655916868226
18,0.99,0.6645146395560723,0.5897716039748192,0.25682503001880425,0.35782828282828283
19,1.0,0.6354828868495478,0.45892018779342725,0.00885837921112848,0.017381254028583495
,threshold,acc,prec,rec,f1
0,0.981,0.6638055425004741,0.5746682643234368,0.2933686762273726,0.3884389248860091
1,0.982,0.6639209769048738,0.5760453706621056,0.2899476653299803,0.38573753692205676
2,0.983,0.6640858831968733,0.5776559287183002,0.2864133759260518,0.38295165394402036
3,0.984,0.6641106191406733,0.578940040839057,0.28262987380774374,0.3798316257402531
4,0.985,0.6642837707472729,0.5807120962037255,0.27898230589727907,0.3768976493633692
5,0.986,0.664250789488873,0.5819471741527252,0.27504021386982036,0.37353846153846154
6,0.987,0.6641188644552732,0.5830202488411808,0.2707129749201386,0.36974347866448
7,0.988,0.6641683363428732,0.5847546119039332,0.26643104737307144,0.3660700389105059
8,9.989,0.6360600588715463,,0.0,
9,0.99,0.6645146395560723,0.5897716039748192,0.25682503001880425,0.35782828282828283
10,0.991,0.6643662238932726,0.5917669072440523,0.25077595776977274,0.35226911081407924
11,0.992,0.6642013176012731,0.5938307582339033,0.24468157411812683,0.34656483650482944
12,0.993,0.6641848269720732,0.5968428822894781,0.2381340764403362,0.3404372469635627
13,0.994,0.6642920160618728,0.6008720245109592,0.23104284193117197,0.3337533340969711
14,0.995,0.6644156957808726,0.6056528417818741,0.2233172477854052,0.32631509252822194
15,0.996,0.6639622034778737,0.6095571095571095,0.21328077210630056,0.3159961734051659
16,0.997,0.663459239287275,0.614673200358893,0.2017716758422257,0.30381387732823906
17,0.998,0.6628655766360766,0.6225405201658499,0.18709078139513807,0.287715141801965
18,0.999,0.6611258152554811,0.6335676625659051,0.1633476064251569,0.25973090293413065
