,vectorsize,acc,prec,rec,f1
0,25.0,0.6429633330942139,0.5163697496860278,0.5206179696240864,0.5184851578294202
1,50.0,0.6449521472514044,0.5212556838833626,0.4707864641605756,0.49473728676330814
2,64.0,0.6453726676577756,0.5225778804875996,0.45752128792801966,0.4878904352299031
3,100.0,0.6458822394443194,0.5245015045135406,0.4379250048571984,0.4773191961677767
4,128.0,0.6465105464044268,0.5261337211690947,0.42898106027615684,0.47261628851065085
5,256.0,0.6469755925008843,0.5280868036196766,0.4124732854089761,0.4631744455478319
6,512.0,0.6472328520436055,0.5289364034133909,0.4073749020185847,0.4602644745706262
,vectorsize,acc,prec,rec,f1
0,25.0,0.639764904356344,0.5102374271773549,0.6067143230405392,0.5543092710306688
1,50.0,0.6416176677938262,0.5143373044689996,0.5267078914399416,0.520449099021568
2,64.0,0.6425724964812337,0.5162417497088132,0.5077681675967922,0.5119698996203678
3,100.0,0.6429905432381555,0.5178452687270519,0.48000509168380645,0.49820769837875806
4,128.0,0.6431983297918918,0.5186613751895122,0.4675572646938625,0.4917852575056638
5,256.0,0.6438439522981441,0.5209106813486063,0.44085272304589884,0.47754965782006337
6,512.0,0.6439379509772152,0.5218254456558298,0.4261605354307498,0.4691660335887771
